feature,importance
alcohol,0.142369652448458
sulphates,0.1250830914163422
volatile acidity,0.1223087963243221
total sulfur dioxide,0.09274227300017568
density,0.08836058575970612
chlorides,0.08618492057450045
citric acid,0.07483026144366399
pH,0.07304470087509608
free sulfur dioxide,0.06675959964347167
fixed acidity,0.06629326298572992
residual sugar,0.06202285552853372
